System,Type,RA(deg),Dec(deg),Vmag,Kmag,length,depth,T0(HJDorBJD),T0err,Period(day),Perioderr,Teff,err,err,[Fe/H],erru,errd,M_A,errup,errdn,R_A,errup,errdn,loggA,errup,errdn,rho_A,errup,errdn,e,errup,errdown,a(AU),errup,errdown,M_b,errup,errdn,R_b,errup,errdn,g_b,errup,errdn,rho_b,errup,errdn,Teq,err,err,Lambda,err,err,Psi,err,err
Kepler-1454b,KTEP,284.22329,48.83175,15.08,13.19,0.2455,0.04,2455008.473,0.011,47.0320478,0.0007193,5448,60,64,-0.02,0.15,0.17,0.9,0.04,0.04,0.86,0.08,0.05,4.53,0.04,0.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.177,0.037,0.028,-1,-1,-1,-1,-1,-1,492,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1455b,KTEP,294.08304,50.50275,16.44,12.92,0.1578,0.11,2454990.021,0.005,49.2768448,0.0003357,4075,61,57,-0.02,0.13,0.17,0.62,0.03,0.04,0.6,0.03,0.04,4.68,0.03,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.156,0.008,0.012,-1,-1,-1,-1,-1,-1,271,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1456b,KTEP,286.94529,43.82275,15.93,12.68,0.1602,0.03,2454969.811,0.011,18.1373788,0.0002307,4231,68,86,-0.09,0.21,0.34,0.64,0.05,0.07,0.62,0.04,0.07,4.67,0.05,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.126,0.01,0.013,-1,-1,-1,-1,-1,-1,433,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1457b,KTEP,283.77058,42.02722,14.19,12.54,0.3213,0.03,2454976.779,0.007,51.1104797,0.0004344,5866,137,120,-0.05,0.15,0.19,1.01,0.07,0.07,1.01,0.15,0.1,4.43,0.07,0.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.143,0.04,0.012,-1,-1,-1,-1,-1,-1,478,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1458b,KTEP,283.21158,41.03806,14.36,12.51,0.2226,0.09,2454993.654,0.004,47.9869119,0.0002568,5653,120,136,0.02,0.13,0.16,0.96,0.05,0.14,0.94,0.14,0.07,4.48,0.06,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.299,0.079,0.042,-1,-1,-1,-1,-1,-1,493,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1459b,KTEP,282.423,46.014,14.87,12.38,0.2851,0.03,2454999.014,0.012,62.869463,0.001,4828,42,41,0.01,0.15,0.16,0.78,0.03,0.04,0.74,0.02,0.03,4.61,0.02,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.175,0.005,0.011,-1,-1,-1,-1,-1,-1,349,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1460b,KTEP,285.55779,44.01078,16.35,13.36,0.1083,0.09,2454982.944,0.005,29.9632816,0.0001998,4422,44,45,-0.02,0.18,0.17,0.7,0.03,0.05,0.67,0.02,0.04,4.64,0.02,0.02,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,0.016,0.018,-1,-1,-1,-1,-1,-1,391,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1461b,KTEP,285.83046,43.19839,15.97,13.47,0.1797,0.07,2454981.466,0.005,29.3493852,0.0001755,4919,50,58,-0.04,0.17,0.17,0.79,0.04,0.14,0.74,0.03,0.04,4.6,0.02,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0.02,0.014,-1,-1,-1,-1,-1,-1,451,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1462b,KTEP,296.3975,42.39692,16.08,14.06,0.3041,0.1,2455007.793,0.008,65.6491001,0.000713,5756,145,206,0.06,0.15,0.14,1,0.07,0.05,1,0.21,0.1,4.45,0.07,0.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.225,0.046,0.02,-1,-1,-1,-1,-1,-1,390,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1463b,KTEP,294.48729,42.00692,15.93,14.02,0.2166,0.04,2454986.04,0.011,25.1593389,0.0004236,5679,94,126,0,0.15,0.19,0.96,0.05,0.05,0.95,0.16,0.08,4.47,0.06,0.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.157,0.047,0.015,-1,-1,-1,-1,-1,-1,619,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1464b,KTEP,287.23567,38.75414,14.34,12.51,0.3372,0.03,2454969.769,0.005,31.7787564,0.0002105,5828,112,170,0.03,0.15,0.16,1.02,0.06,0.07,1.01,0.17,0.09,4.44,0.07,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.134,0.037,0.024,-1,-1,-1,-1,-1,-1,564,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1464c,KTEP,287.23567,38.75414,14.34,12.51,0.1957,0.01,2454966.55,0.006,5.3278416,0.0000429,5828,112,170,0.03,0.15,0.16,1.02,0.06,0.03,1.01,0.17,0.09,4.44,0.07,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.077,0.021,0.013,-1,-1,-1,-1,-1,-1,1023,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1465b,KTEP,289.81933,51.90483,14.74,12.04,0.0683,0.05,2454967.6,0.004,31.827649,0.0001355,4726,61,75,-0.06,0.17,0.17,0.75,0.04,0.1,0.71,0.03,0.04,4.62,0.02,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.444,0.07,0.281,-1,-1,-1,-1,-1,-1,668,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1466b,KTEP,289.83121,44.60983,14.05,12.41,0.1579,0.02,2454992.1,0.006,31.1748311,0.0002131,5884,145,128,-0.07,0.15,0.2,1.01,0.07,0.11,1.02,0.18,0.11,4.43,0.07,0.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.117,0.036,0.012,-1,-1,-1,-1,-1,-1,585,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1467b,KTEP,295.04854,45.34267,15.78,13.58,0.2176,0.15,2454994.059,0.003,47.0568476,0.0001896,5332,179,174,-0.07,0.16,0.19,0.86,0.05,0.1,0.82,0.07,0.06,4.55,0.04,0.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.253,0.042,0.02,-1,-1,-1,-1,-1,-1,411,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1468b,KTEP,293.51983,41.27739,15.2,13.46,0.2341,0.03,2454970.755,0.004,8.2398304,0.00004,5893,163,198,0.03,0.14,0.16,1.04,0.08,0.11,1.05,0.18,0.11,4.42,0.08,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.21,0.034,0.042,-1,-1,-1,-1,-1,-1,1093,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1468c,KTEP,293.51983,41.27739,15.2,13.46,0.1726,0.01,2454965.375,0.005,3.5455308,0.0000216,5893,163,198,0.03,0.14,0.16,1.04,0.08,0.06,1.05,0.18,0.11,4.42,0.08,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.145,0.024,0.029,-1,-1,-1,-1,-1,-1,1448,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1469b,KTEP,293.82133,39.39133,16.19,14.12,0.1476,0.09,2454978.242,0.011,21.8634638,0.0003024,5507,128,171,0.02,0.14,0.17,0.92,0.05,0.07,0.89,0.12,0.06,4.51,0.05,0.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.211,0.039,0.017,-1,-1,-1,-1,-1,-1,551,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1470b,KTEP,288.695,39.88319,15.33,12.9,0.1532,0.02,2454977.804,0.009,16.2951259,0.0001917,4961,84,95,-0.01,0.14,0.16,0.8,0.04,0.06,0.76,0.03,0.04,4.59,0.02,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.103,0.004,0.007,-1,-1,-1,-1,-1,-1,574,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1471b,KTEP,289.66487,50.02003,15.43,13.6,0.0938,0.02,2454964.786,0.005,3.6389895,0.0000213,5660,87,105,-0.03,0.14,0.19,0.95,0.05,0.05,0.93,0.14,0.07,4.48,0.06,0.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15,0.022,0.027,-1,-1,-1,-1,-1,-1,1238,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1472b,KTEP,294.85262,49.05744,14.74,13.26,0.2721,0.02,2454992.388,0.019,38.1303324,0.0005845,6159,93,115,0.03,0.13,0.15,1.16,0.16,0.03,1.25,0.5,0.18,4.31,0.11,0.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.137,0.042,0.017,-1,-1,-1,-1,-1,-1,613,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1473b,KTEP,290.63654,48.99606,13.48,12.01,0.2024,0.01,2454971.84,0.006,14.4273509,0.000091,6046,77,64,-0.01,0.09,0.1,1.09,0.04,0.13,1.09,0.08,0.06,4.4,0.04,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.136,0.022,0.012,-1,-1,-1,-1,-1,-1,783,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1474b,KTEP,294.69404,45.86683,15.42,13.62,0.1828,0.04,2454965.906,0.008,36.4337867,0.0003777,5870,116,173,0.04,0.15,0.16,1.04,0.06,0.09,1.04,0.2,0.11,4.42,0.07,0.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.196,0.029,0.028,-1,-1,-1,-1,-1,-1,561,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1475b,KTEP,295.94825,44.75311,15.43,13.88,0.361,0.05,2455030.202,0.009,82.175197,0.001,6214,193,203,0.03,0.13,0.16,1.18,0.16,0.08,1.28,0.43,0.19,4.29,0.11,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.2,0.061,0.021,-1,-1,-1,-1,-1,-1,441,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1476b,KTEP,284.53208,43.98994,15.59,13.83,0.1074,0.03,2454971.308,0.004,10.3585704,0.0000626,5663,68,77,0.06,0.14,0.15,0.98,0.04,0.09,0.96,0.2,0.07,4.47,0.06,0.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15,0.045,0.02,-1,-1,-1,-1,-1,-1,860,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1477b,KTEP,281.29854,42.68575,14.84,12.59,0.1458,0.03,2454967.13,0.005,11.5553245,0.0000761,5100,78,74,-0.06,0.16,0.17,0.81,0.04,0.07,0.78,0.04,0.04,4.58,0.03,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.152,0.019,0.016,-1,-1,-1,-1,-1,-1,674,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1478b,KTEP,293.16508,41.74622,15.6,13.87,0.2559,0.03,2454982.444,0.016,26.0841212,0.0005057,5904,103,138,0.03,0.14,0.18,1.04,0.07,0.12,1.06,0.28,0.11,4.41,0.08,0.18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12,0.037,0.009,-1,-1,-1,-1,-1,-1,598,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1479b,KTEP,285.71188,49.70664,13.91,12.26,0.1009,0.03,2454973.469,0.002,14.5326055,0.0000438,5796,74,79,-0.02,0.14,0.19,0.99,0.05,0.06,0.98,0.16,0.08,4.45,0.06,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.151,0.045,0.015,-1,-1,-1,-1,-1,-1,746,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1480b,KTEP,291.99975,49.30181,14.76,12.58,0.1863,0.04,2454977.93,0.009,22.1270885,0.0002566,5156,61,71,0.07,0.15,0.15,0.85,0.04,0.06,0.81,0.05,0.03,4.56,0.03,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.352,0.106,0.13,-1,-1,-1,-1,-1,-1,721,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1481b,KTEP,289.43896,49.73119,15.05,12.6,0.0904,0.03,2454966.804,0.011,5.942286,0.0000791,4908,53,66,0.04,0.15,0.16,0.8,0.03,0.05,0.75,0.03,0.03,4.6,0.02,0.04,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0.004,0.007,-1,-1,-1,-1,-1,-1,797,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1482b,KTEP,285.31379,48.72525,13.95,12,0.0989,0.01,2454976.705,0.005,12.2538435,0.0000884,5381,59,59,-0.04,0.15,0.16,0.88,0.04,0.01,0.84,0.08,0.05,4.54,0.04,0.09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.089,0.012,0.003,-1,-1,-1,-1,-1,-1,678,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1483b,KTEP,295.40979,42.15081,14.57,13.08,0.1822,0.01,2454973.56,0.01,9.5084871,0.0001156,6337,209,224,0.04,0.13,0.16,1.25,0.21,0.05,1.4,0.6,0.25,4.24,0.13,0.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.147,0.029,0.029,-1,-1,-1,-1,-1,-1,1131,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1484b,KTEP,292.68425,38.12628,15.42,13.65,0.2873,0.05,2454973.769,0.009,30.4544418,0.000445,5730,204,128,-0.17,0.18,0.21,0.94,0.08,0.15,0.92,0.13,0.09,4.49,0.06,0.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.232,0.073,0.026,-1,-1,-1,-1,-1,-1,624,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1485b,KTEP,298.09542,44.73706,13.35,11.72,0.258,0.01,2454972.368,0.005,19.9158863,0.0001205,6087,92,89,0.02,0.08,0.08,1.11,0.04,0.03,1.12,0.07,0.06,4.39,0.04,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.126,0.021,0.011,-1,-1,-1,-1,-1,-1,728,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1486b,KTEP,290.59037,45.43969,15.49,13.9,0.3317,0.04,2455009.045,0.016,54.6493679,0.000971,5965,148,161,0.06,0.14,0.14,1.08,0.09,0.06,1.12,0.27,0.12,4.38,0.09,0.17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.236,0.039,0.04,-1,-1,-1,-1,-1,-1,538,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1487b,KTEP,295.49808,38.6445,13.57,12.29,0.2034,0.02,2454970.221,0.007,7.3194529,0.0000616,6541,231,190,0.04,0.13,0.15,1.38,0.21,0.04,1.63,0.65,0.32,4.16,0.14,0.23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.451,0.078,0.157,-1,-1,-1,-1,-1,-1,1682,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1488b,KTEP,286.64642,49.93778,13.24,11.64,0.4482,0.02,2454999.651,0.007,39.818832,0.00031,5820,71,62,0.06,0.09,0.07,1.05,0.07,0.07,1.31,0.29,0.25,4.22,0.17,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.199,0.032,0.044,-1,-1,-1,-1,-1,-1,650,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1489b,KTEP,281.29579,44.46539,14.97,13.25,0.2937,0.04,2455045.031,0.012,82.292865,0.001,5655,77,64,-0.13,0.17,0.19,0.93,0.05,0.06,0.9,0.11,0.07,4.51,0.05,0.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.162,0.022,0.011,-1,-1,-1,-1,-1,-1,400,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1490b,KTEP,295.69354,42.6095,15.65,13.62,0.268,0.1,2454996.579,0.011,92.436978,0.001,5515,194,190,-0.08,0.16,0.18,0.9,0.06,0.04,0.87,0.11,0.07,4.52,0.06,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.258,0.053,0.022,-1,-1,-1,-1,-1,-1,348,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1491b,KTEP,293.62975,45.74064,15.75,13.95,0.2935,0.02,2454966.281,0.009,16.5860329,0.0001924,5728,85,115,0.06,0.13,0.15,1,0.05,0.05,0.99,0.22,0.08,4.45,0.06,0.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.186,0.029,0.04,-1,-1,-1,-1,-1,-1,821,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1492b,KTEP,288.59708,41.03642,14.87,12.16,0.1323,0.03,2454964.598,0.005,16.7525077,0.0000982,4712,54,73,0.06,0.15,0.18,0.77,0.03,0.05,0.72,0.02,0.03,4.62,0.01,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.326,0.186,0.204,-1,-1,-1,-1,-1,-1,801,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1493b,KTEP,288.54913,38.56522,13.29,11.53,0.2112,0.01,2454976.699,0.022,15.0219784,0.0004154,5863,79,83,0.06,0.09,0.07,1.06,0.06,0.05,1.29,0.24,0.2,4.24,0.13,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.158,0.026,0.034,-1,-1,-1,-1,-1,-1,874,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1494b,KTEP,282.65738,43.1625,15.39,13.54,0.4293,0.07,2455046.772,0.013,91.078624,0.001,5659,87,107,0.01,0.15,0.18,0.96,0.05,0.03,0.94,0.13,0.07,4.48,0.06,0.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.291,0.092,0.039,-1,-1,-1,-1,-1,-1,415,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1495b,KTEP,286.13075,38.77961,15.59,13.85,0.5546,0.08,2455015.373,0.025,85.272459,0.003,5831,91,139,0.06,0.13,0.15,1.03,0.06,0.08,1.04,0.25,0.1,4.42,0.08,0.18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.343,0.095,0.063,-1,-1,-1,-1,-1,-1,443,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1496b,KTEP,293.97392,45.35069,14.81,13.22,0.3212,0.02,2455003.18,0.01,64.6589166,0.0008975,6182,140,207,0.05,0.13,0.15,1.18,0.18,0.09,1.27,0.52,0.2,4.29,0.12,0.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.189,0.031,0.037,-1,-1,-1,-1,-1,-1,535,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1497b,KTEP,296.19613,45.63431,15.56,13.7,0.1765,0.03,2454968.427,0.009,8.7419236,0.0000871,5675,160,169,0.01,0.13,0.17,0.96,0.07,0.16,0.95,0.16,0.08,4.47,0.06,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.173,0.027,0.027,-1,-1,-1,-1,-1,-1,924,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1498b,KTEP,284.77808,44.91678,15.26,13.24,0.3333,0.03,2454973.514,0.017,48.0506878,0.0009968,5256,60,58,-0.01,0.14,0.16,0.86,0.04,0.06,0.81,0.05,0.04,4.56,0.03,0.06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.211,0.037,0.07,-1,-1,-1,-1,-1,-1,564,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1499b,KTEP,283.98629,41.65039,13.77,11.46,0.2062,0.02,2454996.215,0.006,44.2018402,0.0003481,5097,77,92,-0.01,0.15,0.17,0.82,0.04,0.15,0.78,0.04,0.04,4.58,0.03,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.102,0.011,0.011,-1,-1,-1,-1,-1,-1,409,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1500b,KTEP,288.88329,39.74456,14.76,13.03,0.2636,0.01,2454964.895,0.009,15.0330623,0.0001883,5845,122,141,-0.05,0.16,0.18,1,0.07,0.09,1,0.18,0.1,4.44,0.07,0.14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.194,0.029,0.043,-1,-1,-1,-1,-1,-1,928,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1501b,KTEP,289.9185,42.00142,13.8,12.36,0.1898,0.01,2454974.037,0.007,14.5565618,0.0001222,6229,112,124,0.04,0.14,0.16,1.2,0.17,0.05,1.3,0.54,0.18,4.28,0.11,0.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.096,0.012,0.005,-1,-1,-1,-1,-1,-1,787,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1502b,KTEP,296.10788,39.31989,14.26,12.91,0.357,0.03,2454986.538,0.006,41.7084063,0.0003158,6666,321,272,0.05,0.14,0.15,1.44,0.23,0.05,1.72,0.61,0.33,4.13,0.14,0.21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.195,0.056,0.024,-1,-1,-1,-1,-1,-1,608,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1503b,KTEP,293.72717,42.80675,16.02,13.77,0.3123,0.09,2455003.258,0.01,96.169569,0.001,5069,95,74,-0.19,0.18,0.26,0.77,0.05,0.05,0.74,0.05,0.07,4.59,0.05,0.05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.185,0.029,0.012,-1,-1,-1,-1,-1,-1,321,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1504b,KTEP,289.712,50.12819,15.84,13.83,0.6418,0.07,2454992.046,0.016,82.303914,0.001,5393,102,79,-0.17,0.18,0.2,0.85,0.06,0.08,0.81,0.08,0.07,4.55,0.05,0.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.399,0.058,0.087,-1,-1,-1,-1,-1,-1,485,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1505b,KTEP,292.00204,41.78694,13.1,11.41,0.1757,0.01,2454971.314,0.006,30.8609783,0.0002037,5686,65,54,-0.18,0.1,0.11,0.93,0.03,0.06,0.86,0.02,0.03,4.54,0.01,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.096,0.012,0.004,-1,-1,-1,-1,-1,-1,525,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1506b,KTEP,290.14988,41.46458,15.81,14.08,0.2785,0.02,2454971.06,0.018,14.0328775,0.0002907,5676,105,90,-0.05,0.15,0.18,0.95,0.05,0.04,0.93,0.12,0.07,4.49,0.05,0.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.129,0.041,0.013,-1,-1,-1,-1,-1,-1,783,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1507b,KTEP,288.5615,46.53603,13.33,11.39,0.1321,0.01,2454974.734,0.006,16.0505464,0.0001387,5410,63,70,-0.03,0.15,0.17,0.89,0.04,0.07,0.85,0.09,0.06,4.53,0.04,0.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.072,0.006,0.003,-1,-1,-1,-1,-1,-1,630,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1508b,KTEP,298.11883,40.37503,14.45,12.6,0.4033,0.01,2454972.98,0.022,20.7057153,0.0007598,6158,295,280,0.01,0.13,0.18,1.14,0.22,0.05,1.22,0.48,0.23,4.32,0.14,0.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.287,0.05,0.093,-1,-1,-1,-1,-1,-1,967,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1509b,KTEP,283.79779,46.931,15.52,13.89,0.2714,0.03,2454976.13,0.011,25.4337864,0.0003215,5780,70,80,0.03,0.14,0.16,1,0.05,0.04,0.99,0.16,0.08,4.45,0.06,0.13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.178,0.03,0.022,-1,-1,-1,-1,-1,-1,667,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1510b,KTEP,298.95913,48.25781,15.32,13.73,0.433,0.07,2454985.183,0.019,84.704139,0.002,6200,178,224,0.04,0.13,0.14,1.19,0.15,0.06,1.28,0.46,0.2,4.29,0.11,0.22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.372,0.065,0.079,-1,-1,-1,-1,-1,-1,537,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1511b,KTEP,288.42117,43.17978,14.03,12.47,0.3513,0.02,2454976.527,0.018,23.2385587,0.0004483,6064,73,87,0.14,0.15,0.14,1.17,0.17,0.15,1.29,0.53,0.18,4.28,0.12,0.24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.194,0.057,0.051,-1,-1,-1,-1,-1,-1,903,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1512b,KTEP,289.2745,44.47031,13.77,10.62,0.0897,0.03,2454967.291,0.002,20.359719,0.0000548,4372,59,64,0.2,0.11,0.39,0.73,0.02,0.04,0.67,0.02,0.06,4.64,0.02,0.01,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.071,0.011,0.014,-1,-1,-1,-1,-1,-1,276,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1516b,KTEP,291.49458,44.5235,14.63,12.81,0.2558,0.02,2454964.711,0.003,7.2593226,0.0000266,5904,92,142,0.03,0.16,0.17,1.04,0.07,0.03,1.07,0.23,0.12,4.4,0.08,0.15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14,0.038,0.021,-1,-1,-1,-1,-1,-1,967,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1518b,KTEP,300.33233,44.98614,13.43,12.06,0.1367,0.03,2454966.761,0.008,5.1117547,0.000048,6846,320,290,0.06,0.15,0.16,1.54,0.21,0.06,1.88,0.61,0.38,4.08,0.15,0.19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.251,0.071,0.058,-1,-1,-1,-1,-1,-1,1351,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1521b,KTEP,292.69025,37.83497,13.12,10.84,0.1306,0.11,2455008.269,0.001,47.1484324,0.0000817,5042,74,58,-0.05,0.11,0.11,0.81,0.03,0.06,0.76,0.02,0.03,4.59,0.02,0.03,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.23,0.012,0.012,-1,-1,-1,-1,-1,-1,391,-1,-1,-999,-999,-999,-999,-999,-999
Kepler-1522b,KTEP,289.84321,52.07014,14.37,12.62,0.0788,0.03,2454965.199,0.001,1.8478927,0.0000025,5706,132,101,-0.07,0.16,0.17,0.96,0.05,0.08,0.93,0.12,0.07,4.49,0.05,0.11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.135,0.031,0.013,-1,-1,-1,-1,-1,-1,1374,-1,-1,-999,-999,-999,-999,-999,-999
